Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
b31d9c5d-a21a-3784-b577-5627bdb34485,b1ad1b56-50a6-3cf0-b7b1-6a1dfb50a76c,Lianne167 Fay398,F,GENERAL PRACTICE,2650 RIDGE AVE,EVANSTON,IL,60201,42.046391,-87.694352,1
94d35d69-c1f4-3c0c-87d7-680c78735c08,86496af1-fe6d-37c0-be6c-3d934420c197,Caridad510 Maggio310,F,GENERAL PRACTICE,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,41.837551,-87.681844,1
d8eab46e-7295-3cd1-81a2-ec2f91e2a223,a083cdd0-c8c4-3cd7-8dd5-bd6145f78370,Barry322 Nicolas769,M,GENERAL PRACTICE,3 ERIE COURT,OAK PARK,IL,60302,41.887166,-87.78994200000002,1
6fc76dc7-cf84-3e54-8b93-1f8ad9b58712,5e3b4e0b-ba90-321f-aa5e-0c7b3d13d7ad,Lane844 Jacobi462,M,GENERAL PRACTICE,520 S MAPLE AVE,OAK PARK,IL,60304,41.887166,-87.78994200000002,1
e6bb92da-4804-3a79-93ba-8a1bc4c672b0,6031402a-9750-37cc-ac1e-0c7dac7da448,Dolly486 Morissette863,F,GENERAL PRACTICE,4646 N MARINE DRIVE,CHICAGO,IL,60640,41.837551,-87.681844,3
c47e5b44-c421-3b33-aa6f-9ace31235f56,e1ee6849-e4e5-37a4-901a-47b8ff5d6fcd,Samuel331 Predovic534,M,GENERAL PRACTICE,645 SOUTH CENTRAL AVE,CHICAGO,IL,60644,41.837551,-87.681844,1
79310dc8-825b-39eb-9e34-322291c9a3a2,deee6a00-d016-3b51-8f88-4c572e0cc3b7,Milford485 Heathcote539,M,GENERAL PRACTICE,326 W 64TH ST,CHICAGO,IL,60621,41.837551,-87.681844,1
d733f4bf-f638-3a85-858c-6659edf313af,42b934d1-f657-3262-bf21-037bfed84543,Iluminada398 Deckow585,F,GENERAL PRACTICE,2701 W 68TH STREET,CHICAGO,IL,60629,41.835726,-87.681415,2
6a4656c3-6de4-331f-a282-b18bbab82ae7,7fdee1b2-6ebc-36be-ba15-085fdd162cf4,Guillermo498 Mante251,M,GENERAL PRACTICE,5025 N PAULINA STREET,CHICAGO,IL,60640,41.837551,-87.681844,1
4f2c728f-d827-384c-aedf-240a5760d49f,a17f3ea3-a64c-3161-98d9-8584e416a4e2,Vilma125 Grimes165,F,GENERAL PRACTICE,1775 DEMPSTER ST,PARK RIDGE,IL,60068,42.011762,-87.843434,1
bc30cb6b-ac9a-3963-9e66-18a68696d129,a86a5e2c-fc31-33c7-b8cc-2f2b27ca039a,Kaley842 Blick895,F,GENERAL PRACTICE,1225 LAKE ST,MELROSE PARK,IL,60160,41.902895,-87.864303,1
a3e2e0aa-f4f1-3ad9-9ba1-6a3d117d8472,f13e23ad-64a2-3bab-badd-5d48b8d9a6b7,Suzann567 Kuhlman484,F,GENERAL PRACTICE,8147 N MILWAUKEE AVE,NILES,IL,60714-2828,42.027864,-87.809956,18
c0d5bfc8-e373-3b5f-aac2-40af8d6e3696,f672f8fd-dcd3-3f24-ba57-ae23465bb962,Adella39 Nolan344,F,GENERAL PRACTICE,717 MAIN ST,EVANSTON,IL,60202-1701,42.046391,-87.694352,55
fe6ddf1b-019b-33c6-ba82-49e6da4fe64e,c6e9c3c3-654c-3069-9fd9-366469f0e210,Raul814 Breitenberg711,M,GENERAL PRACTICE,9443 DRAKE AVE,EVANSTON,IL,60203-1105,42.046391,-87.694352,47
f4817909-81e2-3238-a92c-12bcefbae176,29638977-5b44-3e36-a76c-36d46beed35c,Burl285 Wolff180,M,GENERAL PRACTICE,231 W 148TH PL,DOLTON,IL,60419-1411,41.630274,-87.596839,61
263eaf48-f589-3304-9409-792e761683ed,4029cf5b-a438-326e-bf5f-b17ff35ef353,Glendora96 Heaney114,F,GENERAL PRACTICE,7101 N CICERO AVE,LINCOLNWOOD,IL,60712-2112,42.005429,-87.732959,38
31b54878-32a9-3919-8ed4-2ae49c63557e,a8be6f06-cb00-3321-b1e2-c7b85cae6086,Mavis612 Runolfsdottir785,F,GENERAL PRACTICE,715 LAKE ST,OAK PARK,IL,60301-1412,41.887166,-87.78994200000001,46
84e50da6-6b83-3a8f-8b1c-b91b60368e08,9e1b3a77-c1a1-3188-b72d-f3b779df6400,Val761 Bailey598,F,GENERAL PRACTICE,5909 W 35TH ST,CICERO,IL,60804-4163,41.844537,-87.759287,13
