Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
ea6d0fd0-5374-3f1e-98f3-40d1e4374de4,b387836e-40b2-3daf-8866-cd7668916a53,Aide521 Torphy630,F,GENERAL PRACTICE,701 WEST NORTH AVE,MELROSE PARK,IL,60160,41.902895,-87.864303,7
04ff7b65-50ef-3a4a-aeb7-ba7e97892f07,b1ad1b56-50a6-3cf0-b7b1-6a1dfb50a76c,Loren192 Fay398,M,GENERAL PRACTICE,2650 RIDGE AVE,EVANSTON,IL,60201,42.046391,-87.694352,22
42f0ae2b-856c-3220-895c-882e5f49a81f,338b64a3-4082-3cac-ad26-9776f254d69d,Alyce744 Greenfelder433,F,GENERAL PRACTICE,2320 E 93RD ST,CHICAGO,IL,60617,41.837551,-87.681844,1
211dfc35-823e-3aec-858e-cddf01279367,a083cdd0-c8c4-3cd7-8dd5-bd6145f78370,Barry322 Nicolas769,M,GENERAL PRACTICE,3 ERIE COURT,OAK PARK,IL,60302,41.887166,-87.78994200000002,8
13f07748-89bf-3f1f-b057-c1bef3e20d86,24226033-e389-31b6-9bdd-deabe4870abb,Rico947 Hegmann834,M,GENERAL PRACTICE,3249 SOUTH OAK PARK AVENUE,BERWYN,IL,60402,41.843332,-87.790924,5
28716a20-6dc9-3f1b-879a-e152f0cf3076,5e3b4e0b-ba90-321f-aa5e-0c7b3d13d7ad,Librada521 Jacobi462,F,GENERAL PRACTICE,520 S MAPLE AVE,OAK PARK,IL,60304,41.887166,-87.78994200000002,11
ead9b056-7ee0-3f09-854d-5ca578518917,6031402a-9750-37cc-ac1e-0c7dac7da448,Augustus49 Morissette863,M,GENERAL PRACTICE,4646 N MARINE DRIVE,CHICAGO,IL,60640,41.837551,-87.681844,2
a866ccd9-f37c-367a-b31c-775c0b7a57ed,e1ee6849-e4e5-37a4-901a-47b8ff5d6fcd,Annita733 Predovic534,F,GENERAL PRACTICE,645 SOUTH CENTRAL AVE,CHICAGO,IL,60644,41.837551,-87.681844,1
f766be03-0746-3067-98d1-677d235f71c0,de5ba84c-becc-3d95-9427-12bcec6f0bd6,Jeri234 Hansen121,F,GENERAL PRACTICE,5841 SOUTH MARYLAND,CHICAGO,IL,60637,41.837551,-87.681844,1
38337a44-fc51-3289-bd1e-913efcfb63c9,deee6a00-d016-3b51-8f88-4c572e0cc3b7,Charisse42 Heathcote539,F,GENERAL PRACTICE,326 W 64TH ST,CHICAGO,IL,60621,41.837551,-87.681844,1
