Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
0d67924d-89f4-3d38-9a73-29bec5c97479,2a6298c1-8383-35ca-88e1-00587bed08f6,Antonia30 Stark857,M,GENERAL PRACTICE,2776 CLEVELAND AVE,FORT MYERS,FL,33901,26.432536,-81.91674599999997,11
41e02df8-cd08-39c4-b7ca-d12ed6893489,eedb7a55-60ca-38d7-9b41-a630c4523dbd,Carol737 Weimann465,F,GENERAL PRACTICE,809 E MARION AVE,PUNTA GORDA,FL,33950,26.876171000000006,-81.836764,7
bac71faa-1b3f-31b4-8140-776f8d9e9dec,33b6eafb-cf0a-3f4d-b932-2514bd2f493e,Aubrey96 Corkery305,M,GENERAL PRACTICE,1500 LEE BLVD,LEHIGH ACRES,FL,33936,26.612695,-81.63884499999998,71
55cc2285-2935-38a1-b353-f3a019511ca1,c29bd243-9860-3b75-a8ab-52f1ea35446d,Arden380 Murphy561,M,GENERAL PRACTICE,13681 DOCTORS WAY,FORT MYERS,FL,33912,26.61901,-81.831956,186
d4b96ac5-eac4-3c30-a43c-5247d5cd75be,dfc9ba8e-8801-342a-a6fd-c2a1c4fee8f1,Rashad361 Hammes673,M,GENERAL PRACTICE,636 DEL PRADO BLVD,CAPE CORAL,FL,33990,26.643119,-81.997331,32
60123e83-8435-356a-ae78-095f3e2599a5,aab40c3b-f15a-332c-bc36-08f3c4db4fa1,Kirby843 Senger904,M,GENERAL PRACTICE,3940 METRO PKWY,FT MYERS,FL,33916-9407,26.61901,-81.831956,2894
d2c66fc1-9dac-3c47-b7b0-e821030db031,eaca628d-8173-31d0-86b4-07a14926044f,Ramón841 Abeyta738,M,GENERAL PRACTICE,1342 COLONIAL BLVD,FORT MYERS,FL,33907-1011,26.559034999999998,-81.891994,53
408ecc0c-9a45-3a96-b52c-8f0c870f2a55,83396f44-a599-39e9-94e8-a153a8dfe7f5,Suzann567 Kuhlman484,F,GENERAL PRACTICE,3006 S DEL PRADO BLVD,CAPE CORAL,FL,39904-7231,26.655205,-82.00428000000001,50
23fc0a62-74d0-387e-a963-aee75f498e87,ec069453-db30-33af-80de-cd7b8f17fcde,Rolanda823 Stracke611,F,GENERAL PRACTICE,16970 SAN CARLOS BLVD,FORT MYERS,FL,33908-1225,26.559034999999998,-81.891994,14
5f8221b4-0d14-3a5c-8a02-4d248a56c7c9,bab1d9c7-b6ce-361e-8d35-83fd12e32f62,Terrell212 Metz686,M,GENERAL PRACTICE,11470 S CLEVELAND AVE,FT MYERS,FL,33907-2323,26.55052,-81.867802,386
7751e3c7-1ff5-327a-b589-ebd44f0e22b5,5cd319f7-7969-321e-ad3f-7752f4838b08,Salina386 Murazik203,F,GENERAL PRACTICE,12520 WORLD PLAZA LANE,FORT MYERS,FL,33907-4078,26.559034999999998,-81.891994,78
c6aad677-e7c6-381f-ac68-10d566fbcb5b,f887de78-0763-35db-af1b-76f361524962,Earl438 Roberts511,M,GENERAL PRACTICE,470 LEE BLVD,LEHIGH ACRES,FL,33936-4923,26.525609999999997,-81.69968100000001,56
22a38e34-b3f2-324d-ba4b-d70b30e024fb,f83bc0ff-2515-3a29-85bb-6eb80ee65b39,Tara292 Hackett68,F,GENERAL PRACTICE,2814 LEE BLVD,LEHIGH ACRES,FL,33971-1561,26.525609999999997,-81.69968100000001,96
24fd8c1d-65f1-38fc-b057-d1c692b6c031,0437614c-0eb7-36b7-9cfc-17d1c860ff25,Dewayne363 Hand679,M,GENERAL PRACTICE,12381 S CLEVELAND AVE,FT MYERS,FL,33907-3852,26.55052,-81.867802,255
4abf8429-7a63-30fd-87b9-d4190707a046,0a6a3c45-01fa-3b13-a2f5-612f39288143,Miss492 Stoltenberg489,F,GENERAL PRACTICE,13691 METRO PKWY,FORT MYERS,FL,33912-4322,26.559034999999998,-81.891994,49
9326a589-ecac-3602-9419-dceaa045133f,6b73da0e-672f-3d7f-899a-c14e6c41e9f8,Mikel238 Botsford977,M,GENERAL PRACTICE,5285 SUMMERLIN RD,FORT MYERS,FL,33919-7601,26.559034999999998,-81.891994,30
c827c88b-e6cd-381a-8fd6-a00c6d0594c6,3ee08294-b23b-3c27-b95f-a61eb87568a6,Denita497 Wiegand701,F,GENERAL PRACTICE,621 CAPE CORAL E PKWY,CAPE CORAL,FL,33904-8590,26.655205,-82.00428000000001,72
941edddc-f624-3421-be74-a881f1c1e45b,eb4f8d75-9553-3a02-8b52-db4579d31f68,Guillermo498 Dickens475,M,GENERAL PRACTICE,1222 SE 47TH ST,CAPE CORAL,FL,33904-9661,26.655205,-82.00428000000001,60
a2b09c9f-c246-3862-8cb2-a62938441fd1,16800763-e33c-32bf-a27d-3e966d86e607,Cathy455 Keebler762,F,GENERAL PRACTICE,545 PINE ISLAND RD,NORTH FORT MYERS,FL,33903-3764,26.722062,-81.863262,436
e80bf2fb-33ba-391b-90b9-0d0ce934cdd0,dc586f70-52a7-3158-b28d-f0a96a0f2d02,Alysa236 Cruickshank494,F,GENERAL PRACTICE,6901 INTERNATIONAL CTR BLVD,FT MYERS,FL,33912,26.55052,-81.867802,539
270285da-3fd7-3b69-bb63-fe21cd70e918,51c84542-11ea-3e90-b903-4bc4767bf599,Tiera511 Windler79,F,GENERAL PRACTICE,8010 SUMMERLIN LAKES DR,FT MYERS,FL,33907-1849,26.55052,-81.867802,771
6e38f5a6-55a3-3942-89f6-9386b38a7bd1,72c52a19-ae43-3d24-8e3b-9e15da236f8a,Ronald408 McDermott739,M,GENERAL PRACTICE,16251 N CLEVELAND AVE,NORTH FORT MYERS,FL,33903-2176,26.722062,-81.863262,384
8a24ea60-bcdb-3fd0-b873-c525031c324b,a1efd8bf-5d80-3bc4-95e5-a55f2778227e,Randolph418 Upton904,M,GENERAL PRACTICE,1530 LEE BLVD,LEHIGH ACRES,FL,33936-4835,26.525609999999997,-81.69968100000001,211
e242b58e-aeef-32d0-8e66-b5e631b2862b,c6fa56c6-8b84-3803-bbb5-cff435cf659a,Darnell564 Mertz280,M,GENERAL PRACTICE,657 DEL PRADO BLVD S,CAPE CORAL,FL,33990-2666,26.655205,-82.00428000000001,34
